20181001|13136|V2.0
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL KEQ|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL EUHY|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL APDIRMF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL DPLUS|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GBF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL EUEQ|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GSA|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GIF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL SIF|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GEQ|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GREITs|2|
CIMB-PRINCIPAL EPIF|CIMB-PRINCIPAL GOPP-A|2|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL (FAM) RMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL (FAM) SET100RMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL (FAM) FBVRMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL (FAM) RSRMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL FIRMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL PRMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL iPROPRMF|4|
CIMB-PRINCIPAL EQRMF|CIMB-PRINCIPAL APDIRMF|4|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL (FAM) GEF|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL APDI|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL CII|6|
CIMB-PRINCIPAL EUEQ|CPAM GSCEQ-R|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL KEQ|6|
CIMB-PRINCIPAL EUEQ|CIMB-PRINCIPAL JEQ|6|
CIMB-PRINCIPAL EUEQ|CPAM APDE|6|
